route,whse,region,total_time,on_time
2,1,3,45.97555053967151,1.0
1,0,1,46.62921317796657,1.0
1,0,0,45.977147097209276,1.0
3,1,2,44.454216559249126,1.0
3,1,3,44.512997965016794,1.0
5,2,4,40.96931233284568,1.0
2,1,2,49.878626326083506,0.0
5,2,4,43.79597166982688,1.0
1,0,0,54.899969671848694,0.0
3,1,2,42.47492940563071,1.0
1,0,1,39.78159950340847,1.0
5,2,4,46.44541729970814,1.0
2,1,3,41.99295053071719,1.0
5,2,4,49.2521381517577,0.0
4,2,5,43.62353524060829,1.0
4,2,4,42.45940369516586,1.0
5,2,4,40.3320804598676,1.0
1,0,1,47.51504285911354,1.0
1,0,1,46.1646143305803,1.0
2,1,3,45.011064766668824,1.0
3,1,3,44.123517461000894,1.0
3,1,3,44.51803855955873,1.0
0,0,1,40.62453145408753,1.0
0,0,0,43.038754029476245,1.0
3,1,3,39.79516747290939,1.0
4,2,5,46.246551928371375,1.0
1,0,0,39.2370994906277,1.0
3,1,3,50.16730327280458,0.0
4,2,4,49.492069898062375,0.0
1,0,0,44.67516049776269,1.0
1,0,0,43.60457348417912,1.0
1,0,1,45.81624363577607,1.0
3,1,3,43.73372783504656,1.0
3,1,3,44.345361513589225,1.0
0,0,0,48.612672454575595,0.0
0,0,1,47.62081218446496,1.0
1,0,0,43.131598964140025,1.0
4,2,4,51.33740383748817,0.0
0,0,1,41.665480310176235,1.0
4,2,4,49.20624188736395,0.0
1,0,1,46.291312193103316,1.0
3,1,3,49.52781478549297,0.0
1,0,1,46.50812145404053,1.0
5,2,4,46.187539739683736,1.0
0,0,0,48.00343563430595,0.0
4,2,5,49.29556267922033,0.0
4,2,5,40.12708316766226,1.0
1,0,0,42.19252762776484,1.0
2,1,2,46.28361537222532,1.0
2,1,3,47.753858557177864,1.0
2,1,3,40.82345362247819,1.0
1,0,1,45.0943144720173,1.0
5,2,4,50.37274149238089,0.0
1,0,1,43.588678755688335,1.0
2,1,2,48.235122803611695,0.0
3,1,3,41.639022760957346,1.0
2,1,2,40.078096955211265,1.0
4,2,5,45.806985177392676,1.0
5,2,4,40.64258479619208,1.0
0,0,0,46.10877383574749,1.0
2,1,3,44.70455544381854,1.0
5,2,5,44.19002994417693,1.0
3,1,3,49.530863342584986,0.0
2,1,3,41.62466852199367,1.0
0,0,0,43.43700644026208,1.0
5,2,5,45.24080017841351,1.0
2,1,2,47.667871989986885,1.0
1,0,0,47.241402562827616,1.0
2,1,2,46.4012705197863,1.0
1,0,0,47.253181347409125,1.0
1,0,1,46.973570751625616,1.0
1,0,1,44.43545131186251,1.0
0,0,1,45.15150561852663,1.0
3,1,2,47.56634103332946,1.0
3,1,2,39.2329442199215,1.0
5,2,4,47.779483352150535,1.0
4,2,5,45.08414760432596,1.0
2,1,3,41.98930817963846,1.0
3,1,2,45.597851776135414,1.0
4,2,4,40.53218353173931,1.0
2,1,3,42.71391851153012,1.0
5,2,4,43.42415412181237,1.0
4,2,4,40.439698474216726,1.0
4,2,4,43.46828928862719,1.0
1,0,0,45.33683580517723,1.0
3,1,2,44.490903904514475,1.0
1,0,0,43.55200816169149,1.0
4,2,5,44.820428047461235,1.0
0,0,0,41.98656719491254,1.0
1,0,0,44.73286142149063,1.0
1,0,0,47.216689077514374,1.0
1,0,0,41.605203846033056,1.0
2,1,3,47.314219993159426,1.0
1,0,1,45.73167826917481,1.0
4,2,4,44.67493494948869,1.0
0,0,0,46.67721884766208,1.0
5,2,4,43.91020915998082,1.0
2,1,3,43.30736822910952,1.0
3,1,2,45.69912292692112,1.0
1,0,1,42.6953825433063,1.0
5,2,5,48.816604418360114,0.0
4,2,4,42.52907740262748,1.0
0,0,0,42.38613254628345,1.0
0,0,1,42.653855436251824,1.0
1,0,0,43.70270874621889,1.0
2,1,2,47.11145036018078,1.0
2,1,2,42.42163710203203,1.0
1,0,1,47.69320370066713,1.0
4,2,4,42.12840479996876,1.0
4,2,4,41.55008515748375,1.0
5,2,4,45.65315336098971,1.0
5,2,4,48.67228827460873,0.0
2,1,3,44.119213654238294,1.0
3,1,3,45.99245327550376,1.0
1,0,0,49.75893818110454,0.0
5,2,4,42.49935480715793,1.0
0,0,1,43.30202818322249,1.0
1,0,1,38.28713828917865,1.0
1,0,0,51.51590810631705,0.0
1,0,0,43.58836769152602,1.0
5,2,4,44.010575109410176,1.0
3,1,2,48.381854747125104,0.0
4,2,5,43.51100152543224,1.0
4,2,4,45.04498733781707,1.0
5,2,5,40.07777384955566,1.0
5,2,4,42.39040310010661,1.0
3,1,2,43.756208880942175,1.0
1,0,0,43.035903032972676,1.0
1,0,0,45.74387355804241,1.0
0,0,0,48.93617167696689,0.0
0,0,0,43.075167751738064,1.0
0,0,0,50.980330333469595,0.0
3,1,3,42.782335580850116,1.0
1,0,1,43.25280640310213,1.0
1,0,1,46.069887799911626,1.0
3,1,2,39.306196370561324,1.0
2,1,2,41.76011945047244,1.0
0,0,0,46.86259766947906,1.0
4,2,5,43.66013877035398,1.0
2,1,2,43.53837219489864,1.0
5,2,4,42.675618169424325,1.0
1,0,0,48.70854591223808,0.0
3,1,2,41.65047057009173,1.0
4,2,4,43.15800459465858,1.0
1,0,0,43.609533618565,1.0
5,2,5,45.56755973453799,1.0
1,0,1,44.66367902261273,1.0
1,0,0,46.72564566218169,1.0
5,2,4,45.46197693828954,1.0
2,1,2,43.37642292228761,1.0
0,0,0,40.6027741030725,1.0
4,2,5,44.35754029073299,1.0
0,0,1,42.38148069153095,1.0
4,2,5,47.31515790831228,1.0
2,1,3,42.31948526228738,1.0
1,0,0,49.02760237683519,0.0
3,1,3,46.928238498389476,1.0
1,0,0,38.119510895234875,1.0
5,2,4,43.01123740774658,1.0
1,0,1,44.11087441298682,1.0
3,1,2,43.57752109921312,1.0
0,0,0,46.3234493616935,1.0
2,1,3,44.53736255863715,1.0
1,0,0,44.25762769566667,1.0
0,0,1,40.54642184655133,1.0
5,2,4,49.12130792889804,0.0
2,1,2,41.41698125508023,1.0
3,1,2,44.04463519034823,1.0
4,2,5,42.39074260334767,1.0
4,2,5,40.07775403846615,1.0
4,2,5,47.647749286356465,1.0
0,0,0,45.21807891707806,1.0
5,2,4,47.3376612636536,1.0
0,0,0,49.92498318732927,0.0
4,2,4,44.989025831146044,1.0
3,1,3,45.4317460204338,1.0
2,1,3,46.17526971604232,1.0
5,2,4,47.4170834043488,1.0
0,0,0,41.49794059929498,1.0
1,0,1,40.321587053943595,1.0
3,1,2,43.161961298327725,1.0
2,1,2,43.07203688619056,1.0
1,0,0,41.034740523817376,1.0
4,2,5,47.920517188401696,1.0
1,0,0,43.76956187643889,1.0
2,1,3,47.71631291809212,1.0
2,1,3,38.8123872805908,1.0
5,2,4,51.0159432663195,0.0
1,0,0,43.64650027922633,1.0
2,1,2,45.55738870224056,1.0
0,0,0,44.38208122620479,1.0
2,1,2,45.847289211331386,1.0
1,0,0,41.044344674693775,1.0
4,2,4,45.30481637459621,1.0
5,2,5,47.39827736451824,1.0
2,1,2,44.34787543165154,1.0
0,0,1,39.79210194180758,1.0
3,1,3,40.19741758327219,1.0
3,1,3,46.73389483218702,1.0
1,0,0,52.25347355294376,0.0
5,2,5,43.907364121483944,1.0
0,0,1,43.84221211639229,1.0
0,0,1,46.82277546176364,1.0
2,1,2,44.541065359685476,1.0
3,1,2,43.57130885283336,1.0
2,1,2,42.29302419402072,1.0
1,0,1,43.20439133764866,1.0
0,0,0,47.15728239236653,1.0
5,2,4,39.47872258782803,1.0
4,2,4,49.351669416372985,0.0
1,0,1,44.96976245110426,1.0
3,1,2,41.37664781131755,1.0
1,0,1,40.97705902389619,1.0
5,2,4,44.18880685904503,1.0
3,1,3,41.12146547898233,1.0
0,0,0,45.116401206841346,1.0
3,1,3,47.15044011611113,1.0
0,0,1,42.004264490234064,1.0
2,1,2,43.12144572984976,1.0
0,0,0,43.65947932068022,1.0
3,1,2,45.49438185315114,1.0
3,1,2,45.87890417055657,1.0
4,2,4,45.58732448847905,1.0
3,1,3,49.590643312228806,0.0
4,2,4,42.6822042495562,1.0
2,1,2,41.109121526424204,1.0
4,2,5,43.48144749308276,1.0
0,0,0,39.54342090254987,1.0
1,0,1,41.35765475377534,1.0
0,0,0,46.20292272283275,1.0
3,1,2,42.10747666238708,1.0
4,2,5,43.2957278899791,1.0
5,2,5,40.77482456004162,1.0
2,1,3,44.95387149643517,1.0
0,0,0,39.010174388728366,1.0
5,2,4,46.364744966717645,1.0
2,1,3,45.465786667991964,1.0
0,0,1,43.63814492268942,1.0
5,2,4,47.78197215052761,1.0
4,2,4,40.64933496178084,1.0
2,1,2,45.19084848955081,1.0
2,1,2,48.54389332871651,0.0
0,0,1,45.43771146029065,1.0
0,0,1,38.61657341973742,1.0
1,0,0,44.78721417648539,1.0
1,0,0,46.643543025525005,1.0
2,1,2,44.45925210279968,1.0
5,2,4,44.67542461925294,1.0
5,2,4,49.37111283087988,0.0
0,0,1,45.06989992541381,1.0
3,1,3,41.86655648819166,1.0
2,1,2,47.87341511911774,1.0
1,0,0,40.152314000987545,1.0
0,0,0,45.643879602712495,1.0
4,2,5,41.92070111570011,1.0
1,0,0,43.897338057072766,1.0
5,2,4,44.13771209125198,1.0
5,2,5,40.73583006399395,1.0
4,2,5,41.54225684241985,1.0
2,1,3,42.967555239103156,1.0
4,2,4,43.87684887891228,1.0
3,1,3,47.56363196101576,1.0
5,2,4,50.150436273166285,0.0
2,1,3,43.968712992086324,1.0
0,0,0,51.48797379391191,0.0
5,2,5,42.235282699376924,1.0
4,2,4,46.41399348404267,1.0
5,2,4,41.39489038634389,1.0
0,0,0,43.87960525613403,1.0
3,1,3,42.94329656896471,1.0
2,1,2,47.77029884125704,1.0
5,2,4,48.161066081631546,0.0
2,1,3,41.77581967507059,1.0
2,1,2,48.91483886874763,0.0
4,2,4,44.447848084435265,1.0
0,0,1,44.921944658582674,1.0
1,0,1,42.19908609792485,1.0
0,0,1,45.61373317284102,1.0
0,0,1,45.29241274615182,1.0
4,2,5,41.53790676223686,1.0
5,2,5,40.938278894311225,1.0
4,2,5,45.90817713082312,1.0
2,1,3,48.0018739544289,0.0
5,2,5,44.49878762814538,1.0
5,2,4,43.60550527482469,1.0
5,2,4,44.86520365570705,1.0
0,0,1,49.08483104393982,0.0
1,0,0,51.56225723854516,0.0
5,2,5,48.24264201365747,0.0
5,2,4,42.631126928415036,1.0
5,2,4,45.0978884051704,1.0
4,2,4,42.252153391122164,1.0
0,0,0,44.46104925706064,1.0
4,2,5,40.01973087544562,1.0
5,2,5,52.841724944408384,0.0
3,1,2,45.01902643726448,1.0
2,1,3,43.065473784880226,1.0
4,2,5,41.18201603278151,1.0
3,1,2,45.7016477588366,1.0
4,2,5,46.21304843840435,1.0
3,1,2,44.96847161157562,1.0
0,0,1,41.560351437475965,1.0
3,1,3,43.76909605353679,1.0
0,0,1,43.62572234657503,1.0
1,0,0,43.82171748119807,1.0
1,0,1,49.73735997639215,0.0
4,2,5,46.049909020241415,1.0
1,0,1,45.23040458446957,1.0
3,1,2,44.596706004316175,1.0
1,0,0,44.492307306940404,1.0
0,0,1,44.61493620005337,1.0
5,2,4,47.4597035610587,1.0
3,1,2,45.449697571251804,1.0
0,0,1,45.60007441571858,1.0
2,1,2,38.49737661061228,1.0
4,2,5,42.13153648982022,1.0
4,2,5,42.523273769548794,1.0
2,1,2,46.72524190371593,1.0
2,1,2,42.87511983006316,1.0
3,1,3,45.10925190375962,1.0
2,1,2,40.43442064913845,1.0
5,2,5,41.350765921297864,1.0
1,0,1,49.344826185153934,0.0
3,1,2,49.64174010935823,0.0
1,0,1,44.613893078577185,1.0
5,2,5,41.72479024000035,1.0
1,0,1,43.093711653515086,1.0
1,0,0,43.947986400300536,1.0
1,0,1,43.34111558065088,1.0
0,0,1,47.09696242704216,1.0
5,2,5,42.913891500622455,1.0
0,0,0,40.47069355216363,1.0
5,2,4,42.6326539140759,1.0
0,0,0,45.87131347006441,1.0
0,0,1,44.68807121968653,1.0
0,0,1,39.45268396341186,1.0
0,0,0,42.35787651885117,1.0
2,1,2,45.3375051737985,1.0
3,1,3,44.366728233302865,1.0
2,1,3,40.53275849166534,1.0
5,2,4,41.49459116262609,1.0
5,2,5,44.644558984011525,1.0
1,0,1,47.23345484507558,1.0
2,1,2,42.806046843785644,1.0
2,1,3,38.582225975576115,1.0
4,2,4,49.24328935084196,0.0
4,2,5,41.0008960552773,1.0
1,0,1,43.364767709063585,1.0
2,1,3,45.02412444562592,1.0
1,0,1,39.869449336992595,1.0
2,1,2,43.95304200766081,1.0
1,0,0,46.89869100960721,1.0
5,2,4,45.15545435846542,1.0
4,2,5,40.72188212319601,1.0
3,1,2,41.609249144210345,1.0
2,1,3,47.0590182399045,1.0
0,0,0,43.41482534602496,1.0
2,1,3,42.43987372604776,1.0
5,2,4,40.334718308307146,1.0
1,0,1,43.52833013767301,1.0
1,0,0,46.80823802265659,1.0
0,0,0,42.888886119086166,1.0
0,0,1,42.14639982644794,1.0
4,2,5,47.37265300465544,1.0
5,2,4,44.647613699389986,1.0
1,0,1,50.848890533059475,0.0
5,2,4,46.262051912927326,1.0
5,2,5,46.80610562206222,1.0
2,1,2,43.0678381922783,1.0
2,1,3,43.16203269970501,1.0
0,0,0,48.31573378146986,0.0
5,2,5,49.075015539921935,0.0
3,1,2,44.12514400753498,1.0
3,1,2,48.071149508309944,0.0
3,1,2,44.244509318516194,1.0
5,2,4,43.60009535829961,1.0
1,0,1,39.68916492084077,1.0
4,2,5,48.88221228722791,0.0
0,0,1,46.215109178181685,1.0
3,1,2,44.639370623993884,1.0
1,0,1,47.970709474972615,1.0
4,2,5,50.03123783768479,0.0
5,2,4,48.441687070457,0.0
0,0,0,46.58102367198096,1.0
3,1,3,43.871401863222474,1.0
2,1,3,44.22613351626405,1.0
4,2,5,39.35307642576571,1.0
5,2,5,39.5256638900593,1.0
4,2,4,44.58417312363449,1.0
1,0,1,43.805654012786164,1.0
2,1,3,47.724000064474026,1.0
3,1,2,41.024436310139976,1.0
3,1,2,46.142716266843124,1.0
4,2,4,39.822178069871676,1.0
0,0,1,45.18791406072233,1.0
2,1,3,43.93948384742958,1.0
2,1,3,44.71698636050529,1.0
3,1,3,45.78681308802172,1.0
4,2,4,48.49631381958128,0.0
4,2,4,41.911138982318306,1.0
0,0,0,38.30395636364752,1.0
4,2,4,40.847152199670546,1.0
1,0,0,42.0920975810225,1.0
4,2,4,42.74221865587612,1.0
4,2,4,47.438622883048154,1.0
0,0,0,41.40054686537889,1.0
0,0,0,45.59192559428612,1.0
3,1,3,44.593161663078895,1.0
1,0,1,47.002196021366544,1.0
2,1,2,42.88921326024847,1.0
3,1,3,41.81993858779329,1.0
2,1,2,47.28303951212819,1.0
4,2,4,47.820336349488514,1.0
2,1,2,41.382729708788126,1.0
4,2,4,40.5327364068157,1.0
3,1,2,48.611283699124776,0.0
5,2,4,45.945669244713734,1.0
4,2,4,45.635420126920216,1.0
5,2,5,44.93144327618652,1.0
4,2,5,41.20916203880362,1.0
2,1,2,46.6950195790336,1.0
3,1,3,41.08715647040288,1.0
2,1,3,43.96229803028437,1.0
3,1,2,44.82223951654699,1.0
3,1,3,49.58251002134087,0.0
4,2,4,49.30587910930774,0.0
2,1,2,49.38225818631789,0.0
5,2,4,46.34929848277818,1.0
5,2,4,42.04928580457107,1.0
5,2,4,49.03739098952889,0.0
2,1,3,47.55546742764047,1.0
0,0,0,43.53273416257808,1.0
3,1,2,42.183052756911636,1.0
1,0,1,41.412361512147015,1.0
2,1,3,42.56747551524142,1.0
0,0,1,50.0513094963044,0.0
2,1,2,44.70474656932625,1.0
3,1,3,48.166514702461086,0.0
1,0,1,45.7697975086534,1.0
5,2,5,43.787439849753085,1.0
0,0,1,47.95011138543076,1.0
3,1,3,46.27881411216726,1.0
4,2,5,48.71630669745137,0.0
0,0,1,47.29102387885814,1.0
5,2,4,50.52968081760116,0.0
3,1,3,41.715618566077254,1.0
0,0,0,47.102509328469566,1.0
0,0,1,45.78436951176755,1.0
1,0,1,44.25003888875429,1.0
4,2,5,45.7073342042727,1.0
4,2,5,43.46149597650376,1.0
0,0,1,42.67228647780817,1.0
1,0,0,48.833759699341634,0.0
5,2,4,41.15983078351337,1.0
5,2,5,39.19909928295116,1.0
0,0,1,45.10905263172215,1.0
3,1,2,43.21479186536983,1.0
5,2,5,47.40243783410066,1.0
4,2,4,47.87698299797923,1.0
0,0,0,43.20860574469693,1.0
4,2,4,49.00154010971325,0.0
0,0,0,39.17881943606217,1.0
0,0,1,45.24129878463911,1.0
3,1,3,40.87102015141777,1.0
3,1,3,42.92255998998239,1.0
0,0,1,41.32322366761787,1.0
3,1,3,48.92582396210022,0.0
5,2,4,45.24675033032437,1.0
3,1,3,45.96473373891756,1.0
3,1,3,45.95345872647682,1.0
1,0,1,44.19715927689257,1.0
3,1,3,43.79497066846287,1.0
0,0,1,43.61101659283091,1.0
5,2,5,44.3066339798104,1.0
1,0,0,46.001680627601885,1.0
1,0,0,45.96894436084367,1.0
0,0,1,43.24693602923008,1.0
4,2,4,45.521286879375026,1.0
0,0,0,42.52259766088597,1.0
2,1,3,44.204582635538905,1.0
2,1,2,43.62175137516783,1.0
4,2,5,47.07250034071493,1.0
1,0,0,46.154986526147646,1.0
1,0,1,47.174975482589225,1.0
1,0,0,49.67468393910235,0.0
3,1,2,41.39205248243454,1.0
0,0,0,40.161743429807466,1.0
4,2,5,44.19540236916323,1.0
2,1,3,45.220773407694246,1.0
5,2,5,45.44942762539614,1.0
2,1,3,44.83461357911016,1.0
2,1,2,43.49357310506617,1.0
4,2,5,46.34122646996909,1.0
3,1,3,41.52981805879446,1.0
4,2,4,48.140267744685765,0.0
5,2,4,49.024622941255174,0.0
2,1,3,40.18692555999175,1.0
5,2,4,46.09706692455451,1.0
5,2,4,49.39404137288182,0.0
3,1,3,40.99610041499976,1.0
2,1,2,38.210973102923965,1.0
1,0,0,45.33869578534157,1.0
3,1,2,42.61818523804945,1.0
1,0,0,39.92523736078821,1.0
5,2,5,49.399808576519426,0.0
1,0,1,41.40157408653326,1.0
2,1,3,44.426120663754304,1.0
1,0,0,45.66702855793002,1.0
1,0,0,47.815841401634835,1.0
0,0,0,46.50555361158737,1.0
1,0,1,46.85255418318733,1.0
1,0,1,46.31821205612985,1.0
1,0,0,49.61786772560304,0.0
4,2,4,42.94899792850507,1.0
2,1,3,46.52844075435104,1.0
4,2,4,46.346721025897644,1.0
0,0,1,43.46554440532401,1.0
3,1,2,48.620440542322505,0.0
1,0,0,41.3730487481006,1.0
0,0,0,45.80706960754117,1.0
4,2,5,46.22285594210574,1.0
3,1,3,48.63805273843937,0.0
3,1,3,43.334390395444245,1.0
1,0,1,44.678783461018085,1.0
5,2,4,42.49103438642143,1.0
2,1,3,40.72233654194159,1.0
2,1,3,40.87243902336153,1.0
5,2,5,48.32601773298318,0.0
5,2,5,47.069274801996436,1.0
3,1,2,43.77889987487595,1.0
5,2,5,49.14726746028824,0.0
5,2,4,51.85880915358938,0.0
4,2,5,46.012998514766544,1.0
3,1,3,41.93379433466211,1.0
2,1,3,42.346986742801604,1.0
0,0,0,49.96682884365886,0.0
0,0,0,45.04528245991197,1.0
3,1,3,41.35457750405972,1.0
5,2,5,44.99462449731108,1.0
2,1,3,41.953167707250486,1.0
3,1,2,46.493630223595474,1.0
0,0,0,52.047989471522094,0.0
4,2,4,42.92139616004526,1.0
2,1,3,44.42939138688029,1.0
1,0,0,47.85874326871905,1.0
5,2,5,46.27368192078755,1.0
5,2,5,49.978798360800454,0.0
0,0,1,48.608472855535695,0.0
4,2,5,47.17121320576102,1.0
3,1,3,46.44308125757987,1.0
3,1,3,45.19074723156829,1.0
2,1,2,45.50912249921744,1.0
4,2,5,38.73250713372305,1.0
3,1,2,41.22910254441753,1.0
4,2,4,44.912102936086015,1.0
4,2,4,42.99731002451189,1.0
5,2,5,46.08231371976862,1.0
4,2,5,43.24925564794769,1.0
5,2,4,48.209941705721775,0.0
5,2,4,40.00943903769221,1.0
3,1,2,45.5026491569721,1.0
2,1,2,43.35869097905442,1.0
4,2,4,48.04371781697686,0.0
2,1,3,40.784266553619354,1.0
3,1,3,46.60143292580488,1.0
1,0,0,42.89159838919309,1.0
2,1,3,41.01478922519986,1.0
5,2,5,43.634996117213426,1.0
3,1,3,48.45376728640799,0.0
5,2,5,54.89617198539858,0.0
0,0,0,50.47796557699146,0.0
4,2,4,41.16677479650024,1.0
2,1,2,45.47166332187275,1.0
2,1,2,45.947354129065374,1.0
5,2,4,43.59397594095539,1.0
1,0,1,39.9516769984758,1.0
4,2,5,43.413287536013016,1.0
0,0,1,43.79263527406578,1.0
5,2,5,46.7335859498777,1.0
2,1,3,45.070578194208316,1.0
2,1,3,40.84553004412045,1.0
1,0,1,45.2557196895594,1.0
2,1,3,42.05670450039919,1.0
1,0,0,46.36064897147845,1.0
0,0,0,43.25654149550242,1.0
0,0,0,47.688679285000894,1.0
1,0,0,40.697158369343136,1.0
1,0,0,49.62325516641849,0.0
5,2,4,45.364231663461375,1.0
4,2,5,43.610382841729155,1.0
1,0,1,42.37252441378962,1.0
5,2,5,43.45183723982119,1.0
4,2,5,46.536311574092736,1.0
5,2,4,46.70078896941002,1.0
0,0,1,40.50425606830061,1.0
3,1,2,49.07058896349374,0.0
5,2,5,48.406231710967354,0.0
4,2,4,44.00454406198038,1.0
3,1,3,44.20185598916271,1.0
0,0,1,40.846128215076796,1.0
1,0,0,43.160127875571995,1.0
4,2,4,40.188546590301435,1.0
2,1,3,52.19139082045186,0.0
4,2,5,47.458458260087454,1.0
1,0,0,41.82526042534188,1.0
2,1,3,45.36794568088269,1.0
5,2,5,44.54279414391189,1.0
3,1,3,40.277511220314885,1.0
4,2,5,44.73445202522359,1.0
1,0,1,44.84008453490392,1.0
4,2,5,44.87827378037265,1.0
4,2,4,41.62992055434405,1.0
1,0,1,46.81474663094078,1.0
4,2,5,39.922502039630515,1.0
1,0,0,39.46273678812775,1.0
0,0,0,44.71522165063934,1.0
4,2,5,43.869374255314206,1.0
1,0,0,45.12779236876091,1.0
0,0,0,48.53587859932757,0.0
1,0,1,40.1723838635092,1.0
4,2,4,41.56311516188512,1.0
2,1,2,45.11848191030932,1.0
2,1,2,49.703198068430616,0.0
3,1,3,46.73376025139925,1.0
4,2,4,44.01895101343705,1.0
1,0,1,44.01085507485597,1.0
5,2,4,57.56821373898398,0.0
1,0,1,46.84679184671973,1.0
2,1,2,44.03618092727621,1.0
2,1,2,44.865135949993,1.0
2,1,3,47.78429738032741,1.0
5,2,4,41.83792969839392,1.0
5,2,5,43.18650758307283,1.0
4,2,4,44.402699106468354,1.0
3,1,3,47.10057415316833,1.0
5,2,4,40.81559445531812,1.0
3,1,3,42.14653757361096,1.0
4,2,4,43.440121500125166,1.0
0,0,0,41.982696556015334,1.0
0,0,0,43.18913176615101,1.0
5,2,5,42.28163711977625,1.0
0,0,1,40.27042659489323,1.0
3,1,2,46.59032813095198,1.0
0,0,0,47.146778084975956,1.0
5,2,4,41.99543297858254,1.0
3,1,2,42.4193921890502,1.0
4,2,5,45.06085901602013,1.0
0,0,1,43.25539225769469,1.0
1,0,1,47.7983692321395,1.0
1,0,0,49.66650457036618,0.0
2,1,3,46.936337639978206,1.0
4,2,5,46.72671839662816,1.0
4,2,4,45.02527427183884,1.0
5,2,4,45.74770070045909,1.0
0,0,0,46.08304479614226,1.0
1,0,0,42.61691893230997,1.0
2,1,2,48.40394640425372,0.0
3,1,2,40.538866209017876,1.0
1,0,1,43.626030167520526,1.0
1,0,0,47.827617730739036,1.0
4,2,5,40.660225828817914,1.0
3,1,3,39.43083840770692,1.0
4,2,5,39.051021550860156,1.0
1,0,0,48.96536788921219,0.0
2,1,2,40.75008019525559,1.0
1,0,1,40.28034956533966,1.0
0,0,1,48.65715345585599,0.0
5,2,4,50.85497096385347,0.0
1,0,0,56.13669180385474,0.0
5,2,4,45.20841397458951,1.0
3,1,3,40.9592944734693,1.0
2,1,2,45.14712500090175,1.0
0,0,0,39.015510306476436,1.0
2,1,2,48.26140515857312,0.0
1,0,1,44.00610522817816,1.0
0,0,1,39.19798186146423,1.0
0,0,1,41.75978086385428,1.0
4,2,5,49.78835242739005,0.0
1,0,0,39.884726278105944,1.0
0,0,1,50.34141632193901,0.0
2,1,2,39.32496774122909,1.0
1,0,0,42.07867776090764,1.0
2,1,2,42.314035086087515,1.0
3,1,3,43.727299714429535,1.0
4,2,5,41.784654495306626,1.0
0,0,0,45.05462717336329,1.0
3,1,2,45.247352943594855,1.0
2,1,3,44.94740214925091,1.0
3,1,2,53.56746242832504,0.0
5,2,4,47.57343969735541,1.0
0,0,0,40.70979664496145,1.0
3,1,2,45.848525468652404,1.0
5,2,4,43.576375568760724,1.0
3,1,2,46.77723590831218,1.0
4,2,5,45.14100467030591,1.0
5,2,4,44.52113563033073,1.0
5,2,4,44.24071603022268,1.0
0,0,0,46.82394840075208,1.0
1,0,1,52.17620834385093,0.0
2,1,3,43.07488905633257,1.0
2,1,2,42.1519112742336,1.0
0,0,0,44.58894653016337,1.0
1,0,0,46.879593719634805,1.0
2,1,3,46.413168457331395,1.0
0,0,1,47.08029016638639,1.0
